week,rashes
2020-03-15,63
2020-03-22,88
2020-03-29,77
2020-04-05,64
2020-04-12,72
2020-04-19,83
2020-04-26,92
2020-05-03,96
2020-05-10,93
2020-05-17,100
2020-05-24,78
2020-05-31,77
2020-06-07,70
2020-06-14,64
2020-06-21,71
2020-06-28,67
2020-07-05,74
2020-07-12,73
2020-07-19,86
2020-07-26,72
2020-08-02,71
2020-08-09,78
2020-08-16,80
2020-08-23,74
2020-08-30,78
2020-09-06,68
2020-09-13,61
2020-09-20,65
2020-09-27,63
2020-10-04,54
2020-10-11,54
2020-10-18,54
2020-10-25,56
2020-11-01,57
2020-11-08,55
2020-11-15,67
2020-11-22,58
2020-11-29,48
2020-12-06,59
2020-12-13,59
2020-12-20,57
2020-12-27,67
2021-01-03,63
2021-01-10,62
2021-01-17,55
2021-01-24,53
2021-01-31,58
2021-02-07,60
2021-02-14,60
2021-02-21,59
2021-02-28,63
2021-03-07,67
2021-03-14,71
