week,social distancing
2020-03-15,100
2020-03-22,63
2020-03-29,41
2020-04-05,31
2020-04-12,42
2020-04-19,38
2020-04-26,37
2020-05-03,44
2020-05-10,48
2020-05-17,59
2020-05-24,46
2020-05-31,50
2020-06-07,34
2020-06-14,34
2020-06-21,30
2020-06-28,29
2020-07-05,28
2020-07-12,22
2020-07-19,23
2020-07-26,20
2020-08-02,21
2020-08-09,19
2020-08-16,16
2020-08-23,19
2020-08-30,18
2020-09-06,17
2020-09-13,27
2020-09-20,24
2020-09-27,55
2020-10-04,30
2020-10-11,25
2020-10-18,19
2020-10-25,17
2020-11-01,19
2020-11-08,15
2020-11-15,17
2020-11-22,19
2020-11-29,20
2020-12-06,20
2020-12-13,17
2020-12-20,12
2020-12-27,8
2021-01-03,16
2021-01-10,13
2021-01-17,16
2021-01-24,16
2021-01-31,16
2021-02-07,14
2021-02-14,13
2021-02-21,14
2021-02-28,14
2021-03-07,14
2021-03-14,14
