date,social distancing,isPartial
2020-08-15,64,False
2020-08-16,0,False
2020-08-17,0,False
2020-08-18,100,False
2020-08-19,0,False
2020-08-20,68,False
2020-08-21,0,False
2020-08-22,72,False
2020-08-23,0,False
2020-08-24,87,False
2020-08-25,76,False
2020-08-26,0,False
2020-08-27,76,False
2020-08-28,60,False
2020-08-29,0,False
2020-08-30,0,False
2020-08-31,90,False
2020-09-01,60,False
2020-09-02,0,False
2020-09-03,0,False
2020-09-04,97,False
2020-09-05,0,False
2020-09-06,64,False
2020-09-07,0,False
2020-09-08,78,False
2020-09-09,0,False
2020-09-10,66,False
2020-09-11,53,False
2020-09-12,0,False
2020-09-13,69,False
2020-09-14,88,False
