date,ubo,isPartial
2020-09-18,0,False
2020-09-19,0,False
2020-09-20,0,False
2020-09-21,0,False
2020-09-22,0,False
2020-09-23,54,False
2020-09-24,76,False
2020-09-25,100,False
2020-09-26,0,False
2020-09-27,84,False
2020-09-28,0,False
2020-09-29,66,False
2020-09-30,0,False
2020-10-01,62,False
2020-10-02,0,False
2020-10-03,0,False
2020-10-04,0,False
2020-10-05,58,False
2020-10-06,75,False
2020-10-07,55,False
2020-10-08,56,False
2020-10-09,95,False
2020-10-10,0,False
2020-10-11,0,False
2020-10-12,77,False
2020-10-13,82,False
2020-10-14,57,False
2020-10-15,60,False
2020-10-16,0,False
2020-10-17,0,False
2020-10-18,80,False
