date,work from home,isPartial
2020-05-23,73,False
2020-05-24,52,False
2020-05-25,75,False
2020-05-26,66,False
2020-05-27,85,False
2020-05-28,89,False
2020-05-29,86,False
2020-05-30,61,False
2020-05-31,84,False
2020-06-01,100,False
2020-06-02,86,False
2020-06-03,91,False
2020-06-04,85,False
2020-06-05,83,False
2020-06-06,63,False
2020-06-07,36,False
2020-06-08,60,False
2020-06-09,55,False
2020-06-10,65,False
2020-06-11,63,False
2020-06-12,61,False
2020-06-13,48,False
2020-06-14,55,False
2020-06-15,40,False
2020-06-16,57,False
2020-06-17,61,False
2020-06-18,67,False
2020-06-19,68,False
2020-06-20,49,False
2020-06-21,49,False
2020-06-22,72,False
